id,type,unit_id,title,release_date,now_available
1,A,Pre,Pre-course assessment,,True
2,U,1,Cloud,,True
3,U,2,How to Start VMs (IaaS),,True
4,U,3,How to Store Data,,True
5,A,Mid,Mid-course assessment,,True
6,U,4,How to Access Data (High Level Language),,True
7,U,5,How Programs Run (PaaS),,True
8,U,6,How to Solve Problems (Data Mining Algorithms),,True


